,A,AES,ADBE,AET,ACE,AGN,AME,AAPL,AIV,AN,ACN,BAX,BK,AXP,AMAT,AEE,BAC,AIG,ADSK,BCR,ALLE,AVGO,AZO,AON,AIZ,GAS,AMG,BMS,BBBY,AMP,AMT,AFL,BHI,ADT,ABC,AA,ADS,ADP,AEP,BBT,AMGN,ABBV,ABT,ALXN,AMZN,ADM,BDX,ADI,AKAM,ALL,AVY,BLL,MO,MMM,APH,AVB,ARG,APC,APA,ALTR,APD,T
AXP,0.939917230109,0.716199568891,0.595774830058,0.831721325662,0.947862426848,0.848163697337,0.920831021727,0.922392544912,0.807974927401,0.90276484853,0.874436587874,0.87007062912,0.952686020396,1.0,0.867628536257,0.799949345734,0.945338641799,0.941492851688,0.774700433091,0.77154081674,0.938566176179,0.881099291664,0.84572815086,0.937710943816,0.865996186724,0.911006793378,0.891620857507,0.917801008995,0.64351553413,0.899996308022,0.91275889351,0.933295953003,0.615226490879,0.819984557454,0.764911225448,0.57344499392,0.924872845988,0.901960400147,0.913092234932,0.906515811846,0.862240836029,0.868216519009,0.935316072869,0.710434053061,0.882838450611,0.918856015842,0.848913817309,0.706507602215,0.809927702325,0.925243185686,0.932443457507,0.832035117373,0.891640961759,0.917921114913,0.831257581762,0.744371060154,0.783686872302,0.818688696843,0.539768332423,0.83685072991,0.831185085679,0.966847103011
AMAT,0.804016917378,0.714904028552,0.605943203598,0.878923178826,0.874770547038,0.856898343167,0.768111642206,0.908582653401,0.688503961616,0.840767466845,0.853595110248,0.936617739994,0.88293609369,0.867628536257,1.0,0.607061721203,0.81241347559,0.893900147372,0.746197385702,0.662366166135,0.887027353102,0.876878589542,0.86963124197,0.784885743055,0.876448934687,0.887524248743,0.83603497238,0.813046105363,0.544158429305,0.895554405687,0.780285466626,0.911646466815,0.780607905885,0.899483732781,0.781266922218,0.431165635498,0.806016617723,0.901318999277,0.820650584056,0.762270955643,0.887127381867,0.865318340269,0.86416389709,0.712645885749,0.843011385081,0.842559122437,0.779096436203,0.648188982546,0.80444231229,0.900205430297,0.915231736902,0.857000340014,0.836279222099,0.821243133819,0.910187619534,0.542453269347,0.604071105496,0.817658178014,0.420388686839,0.869406815842,0.890641923975,0.889650959221
AEE,0.690365940856,0.677511996545,0.305649363116,0.523661382039,0.688685253115,0.655955387641,0.756726576075,0.649237205796,0.72445931603,0.726904253807,0.560958792616,0.554116548742,0.747928643369,0.799949345734,0.607061721203,1.0,0.792010481983,0.662320365022,0.611203885349,0.690467346127,0.635313080087,0.569534420188,0.571793419986,0.754349726057,0.570585616978,0.650844926299,0.586462565085,0.729428290122,0.372283056435,0.615934735436,0.761490504636,0.650550652748,0.392646820831,0.572824356244,0.646946165818,0.477143701333,0.727463772932,0.595902145341,0.805086691529,0.867707767382,0.617400288785,0.578550966707,0.794609803167,0.49221732543,0.679128683639,0.714214858637,0.688127050371,0.499287140975,0.478603383979,0.618231116648,0.66257741007,0.463075618956,0.540481298996,0.675261800127,0.519883706583,0.766803463214,0.788084943773,0.576730128442,0.547275568458,0.548938035773,0.575608488499,0.735409169703
BAC,0.929898015032,0.682270931259,0.544120589499,0.760655842577,0.892471952115,0.782701827883,0.891961305307,0.886887631992,0.703502139146,0.871427482021,0.799331854175,0.849317818507,0.95517315108,0.945338641799,0.81241347559,0.792010481983,1.0,0.91212007662,0.699547208509,0.793095151146,0.888691160413,0.842353134644,0.775938207652,0.878912163446,0.8487884979,0.831743760734,0.85113159366,0.829382593504,0.63253246862,0.863133931651,0.904714501593,0.88573353772,0.498177178303,0.771904078542,0.696236427811,0.529361359326,0.929466914211,0.837164643044,0.911447734798,0.935236576505,0.813830464267,0.797569075162,0.898413211039,0.691049290724,0.895850452469,0.905554337673,0.874383365132,0.753122042287,0.774669092473,0.883198882853,0.848033659005,0.773901226432,0.839990890095,0.925154338258,0.806985587711,0.720575307076,0.750425758011,0.718646318082,0.448912116748,0.811667323884,0.827726887633,0.95724977946
AIG,0.920922317308,0.672486949231,0.647233075208,0.885956711049,0.965510867609,0.83166016085,0.893854925664,0.956061782804,0.753145308358,0.890558644576,0.917490727763,0.93023572292,0.954018831982,0.941492851688,0.893900147372,0.662320365022,0.91212007662,1.0,0.803107377937,0.6887130369,0.939636198718,0.924978038863,0.891871456436,0.905532733316,0.891534123955,0.942028958306,0.926085975734,0.85046411834,0.746918334933,0.949943287911,0.890732905221,0.957020641587,0.669766324115,0.880325339525,0.769146489077,0.569554296741,0.891373781694,0.950975397792,0.88776298688,0.806046103823,0.912685873111,0.908849242211,0.922296931287,0.767145891497,0.924067515373,0.872238305727,0.830681982747,0.786466177483,0.8693555773,0.969700866679,0.935281761207,0.911120987364,0.933527083146,0.949134562213,0.931819604461,0.665410734311,0.66641021063,0.836140851407,0.473336862829,0.939793125287,0.913426182838,0.977500572601
ADSK,0.738074829997,0.784461290847,0.557402920186,0.736298816329,0.882709421085,0.695926932764,0.797641495978,0.789939434821,0.613623591774,0.715092686443,0.758614374825,0.77385921261,0.75731816219,0.774700433091,0.746197385702,0.611203885349,0.699547208509,0.803107377937,1.0,0.502877782448,0.758795749031,0.71880486895,0.70683466993,0.83105216528,0.658657619636,0.8174040181,0.778845405171,0.747169905567,0.563393449227,0.789634810448,0.757809223978,0.805940233491,0.609632048005,0.848189298365,0.570922420609,0.77408592717,0.699447035162,0.794089591137,0.831869471668,0.634344076976,0.767579175233,0.793754976942,0.763812257188,0.562979735331,0.674210151412,0.711554468745,0.605008342646,0.592807098603,0.734519002723,0.795473852074,0.785750780521,0.756803153257,0.730926281977,0.729444217846,0.759529394069,0.490600399751,0.646104782837,0.810720665292,0.573403696504,0.732002246252,0.720281070433,0.810172552675
BCR,0.730557078177,0.665993478334,0.333242612211,0.52296353731,0.666033316851,0.633217764183,0.776803834158,0.698905618688,0.579968312711,0.600016336648,0.544638933852,0.672168474506,0.720583520411,0.77154081674,0.662366166135,0.690467346127,0.793095151146,0.6887130369,0.502877782448,1.0,0.705962900806,0.733492938028,0.625831183836,0.713340628563,0.62622959746,0.592025218647,0.574189317461,0.673628593254,0.383702675803,0.583539181624,0.667631384926,0.65867720338,0.408044109215,0.588359785264,0.578291152469,0.423250614356,0.736133190538,0.568340635848,0.640963470969,0.80784241551,0.60186893659,0.513318435388,0.731742079399,0.532055809887,0.705384987887,0.763029526659,0.840443167021,0.661507505364,0.665602772874,0.619654850104,0.599098023364,0.470451792539,0.556013918951,0.741571157302,0.575579222332,0.572394602037,0.548688451523,0.5423185235,0.475207292658,0.594593069761,0.518134133419,0.718279336724
ALLE,0.878078037214,0.682625962248,0.597005970103,0.897537233439,0.92353227469,0.828975802386,0.855393833119,0.948563898805,0.734730325789,0.887250304287,0.867412834853,0.91455493732,0.945460344011,0.938566176179,0.887027353102,0.635313080087,0.888691160413,0.939636198718,0.758795749031,0.705962900806,1.0,0.910609213533,0.850131269362,0.861179171316,0.893101757481,0.935160707096,0.927095980223,0.851659277803,0.656937495387,0.922488142586,0.847954838121,0.941593940241,0.625082488969,0.874321165839,0.736900400974,0.545697003765,0.843155926461,0.940951745286,0.883892295161,0.822771215335,0.859911360058,0.873658839548,0.869974443296,0.672434443597,0.86892075754,0.843932886378,0.811627526798,0.708375881059,0.887835211361,0.943674505726,0.939912328116,0.919702866895,0.907754029512,0.859386722453,0.882046429393,0.59394545273,0.677486712997,0.830828512443,0.435205515255,0.880971180776,0.8543833366,0.941526298421
AVGO,0.883957724034,0.619175875115,0.520594198565,0.89943556224,0.90545349587,0.738462336211,0.826809953999,0.951464359074,0.725827766578,0.829756581855,0.856359721767,0.914497587907,0.888063031217,0.881099291664,0.876878589542,0.569534420188,0.842353134644,0.924978038863,0.71880486895,0.733492938028,0.910609213533,1.0,0.823706144701,0.819318536655,0.942956481417,0.893302689907,0.898604316669,0.811384140389,0.664789694489,0.914686268038,0.792376064278,0.935351463117,0.721574666382,0.779988092419,0.766527604856,0.45927427203,0.789349892954,0.925524356542,0.790052869613,0.734967191704,0.83473762863,0.855299165727,0.810535272123,0.746911045671,0.8346261929,0.83676144981,0.881338532048,0.705044356223,0.791397021451,0.915070851264,0.898933682013,0.887868104003,0.905213613572,0.887039160312,0.930629179417,0.567321562265,0.526251606563,0.838415145395,0.449777268699,0.891562355174,0.873030851879,0.910248100976
AZO,0.794458575639,0.709746059868,0.61304157469,0.826039320546,0.858084936363,0.782920505076,0.829238422639,0.859431535125,0.681249275834,0.795330100667,0.824997449514,0.866592530447,0.854439996474,0.84572815086,0.86963124197,0.571793419986,0.775938207652,0.891871456436,0.70683466993,0.625831183836,0.850131269362,0.823706144701,1.0,0.794425011603,0.763269766938,0.846169306586,0.850929761575,0.80525980014,0.641989274155,0.866783154781,0.85509715239,0.877716654302,0.682438598188,0.828501483519,0.733354534694,0.51358029252,0.840078121086,0.858194499838,0.816977288455,0.724580378382,0.796710624239,0.825585781951,0.864369240127,0.66947996081,0.797210091112,0.818536268231,0.772719985202,0.688091105313,0.750838336809,0.858648401783,0.843605453962,0.832033815575,0.824069703591,0.839343164662,0.825925652227,0.647922304988,0.603288601864,0.772257815259,0.440107152219,0.831116989244,0.807435514395,0.890655727986
